# BibMan synonym pairs — atomic ionization states
# Source: programmatically generated in bibman_server.py
# Format: "Symbol Roman" <TAB> alias (English name, bracket notation, charge notation)
# e.g. "O III<TAB>doubly ionized oxygen"  "Fe II<TAB>[Fe II]"
# Format: two tab-separated columns, one pair per line.
# term_a	term_b
# Lines starting with # are comments and are ignored.
#
H I	neutral H
H I	neutral hydrogen
H I	hydrogen I
H I	[H I]
He I	neutral He
He I	neutral helium
He I	helium I
He I	[He I]
He II	singly ionized He
He II	singly ionized helium
He II	helium II
He II	[He II]
He II	He+
He II	He1+
Li I	neutral Li
Li I	neutral lithium
Li I	lithium I
Li I	[Li I]
Li II	singly ionized Li
Li II	singly ionized lithium
Li II	lithium II
Li II	[Li II]
Li II	Li+
Li II	Li1+
Li III	doubly ionized Li
Li III	doubly ionized lithium
Li III	lithium III
Li III	[Li III]
Li III	Li2+
Li III	Li2plus
C I	neutral C
C I	neutral carbon
C I	carbon I
C I	[C I]
C II	singly ionized C
C II	singly ionized carbon
C II	carbon II
C II	[C II]
C II	C+
C II	C1+
C III	doubly ionized C
C III	doubly ionized carbon
C III	carbon III
C III	[C III]
C III	C2+
C III	C2plus
C IV	triply ionized C
C IV	triply ionized carbon
C IV	carbon IV
C IV	[C IV]
C IV	C3+
C IV	C3plus
C V	quadruply ionized C
C V	quadruply ionized carbon
C V	carbon V
C V	[C V]
C V	C4+
C V	C4plus
C VI	quintuply ionized C
C VI	quintuply ionized carbon
C VI	carbon VI
C VI	[C VI]
C VI	C5+
C VI	C5plus
N I	neutral N
N I	neutral nitrogen
N I	nitrogen I
N I	[N I]
N II	singly ionized N
N II	singly ionized nitrogen
N II	nitrogen II
N II	[N II]
N II	N+
N II	N1+
N III	doubly ionized N
N III	doubly ionized nitrogen
N III	nitrogen III
N III	[N III]
N III	N2+
N III	N2plus
N IV	triply ionized N
N IV	triply ionized nitrogen
N IV	nitrogen IV
N IV	[N IV]
N IV	N3+
N IV	N3plus
N V	quadruply ionized N
N V	quadruply ionized nitrogen
N V	nitrogen V
N V	[N V]
N V	N4+
N V	N4plus
N VI	quintuply ionized N
N VI	quintuply ionized nitrogen
N VI	nitrogen VI
N VI	[N VI]
N VI	N5+
N VI	N5plus
N VII	sextuply ionized N
N VII	sextuply ionized nitrogen
N VII	nitrogen VII
N VII	[N VII]
N VII	N6+
N VII	N6plus
O I	neutral O
O I	neutral oxygen
O I	oxygen I
O I	[O I]
O II	singly ionized O
O II	singly ionized oxygen
O II	oxygen II
O II	[O II]
O II	O+
O II	O1+
O III	doubly ionized O
O III	doubly ionized oxygen
O III	oxygen III
O III	[O III]
O III	O2+
O III	O2plus
O IV	triply ionized O
O IV	triply ionized oxygen
O IV	oxygen IV
O IV	[O IV]
O IV	O3+
O IV	O3plus
O V	quadruply ionized O
O V	quadruply ionized oxygen
O V	oxygen V
O V	[O V]
O V	O4+
O V	O4plus
O VI	quintuply ionized O
O VI	quintuply ionized oxygen
O VI	oxygen VI
O VI	[O VI]
O VI	O5+
O VI	O5plus
O VII	sextuply ionized O
O VII	sextuply ionized oxygen
O VII	oxygen VII
O VII	[O VII]
O VII	O6+
O VII	O6plus
O VIII	septuply ionized O
O VIII	septuply ionized oxygen
O VIII	oxygen VIII
O VIII	[O VIII]
O VIII	O7+
O VIII	O7plus
Ne I	neutral Ne
Ne I	neutral neon
Ne I	neon I
Ne I	[Ne I]
Ne II	singly ionized Ne
Ne II	singly ionized neon
Ne II	neon II
Ne II	[Ne II]
Ne II	Ne+
Ne II	Ne1+
Ne III	doubly ionized Ne
Ne III	doubly ionized neon
Ne III	neon III
Ne III	[Ne III]
Ne III	Ne2+
Ne III	Ne2plus
Ne IV	triply ionized Ne
Ne IV	triply ionized neon
Ne IV	neon IV
Ne IV	[Ne IV]
Ne IV	Ne3+
Ne IV	Ne3plus
Ne V	quadruply ionized Ne
Ne V	quadruply ionized neon
Ne V	neon V
Ne V	[Ne V]
Ne V	Ne4+
Ne V	Ne4plus
Ne VI	quintuply ionized Ne
Ne VI	quintuply ionized neon
Ne VI	neon VI
Ne VI	[Ne VI]
Ne VI	Ne5+
Ne VI	Ne5plus
Ne VII	sextuply ionized Ne
Ne VII	sextuply ionized neon
Ne VII	neon VII
Ne VII	[Ne VII]
Ne VII	Ne6+
Ne VII	Ne6plus
Ne VIII	septuply ionized Ne
Ne VIII	septuply ionized neon
Ne VIII	neon VIII
Ne VIII	[Ne VIII]
Ne VIII	Ne7+
Ne VIII	Ne7plus
Ne IX	octuply ionized Ne
Ne IX	octuply ionized neon
Ne IX	neon IX
Ne IX	[Ne IX]
Ne IX	Ne8+
Ne IX	Ne8plus
Ne X	nonuply ionized Ne
Ne X	nonuply ionized neon
Ne X	neon X
Ne X	[Ne X]
Ne X	Ne9+
Ne X	Ne9plus
Na I	neutral Na
Na I	neutral sodium
Na I	sodium I
Na I	[Na I]
Na II	singly ionized Na
Na II	singly ionized sodium
Na II	sodium II
Na II	[Na II]
Na II	Na+
Na II	Na1+
Na III	doubly ionized Na
Na III	doubly ionized sodium
Na III	sodium III
Na III	[Na III]
Na III	Na2+
Na III	Na2plus
Na IV	triply ionized Na
Na IV	triply ionized sodium
Na IV	sodium IV
Na IV	[Na IV]
Na IV	Na3+
Na IV	Na3plus
Na V	quadruply ionized Na
Na V	quadruply ionized sodium
Na V	sodium V
Na V	[Na V]
Na V	Na4+
Na V	Na4plus
Na VI	quintuply ionized Na
Na VI	quintuply ionized sodium
Na VI	sodium VI
Na VI	[Na VI]
Na VI	Na5+
Na VI	Na5plus
Na VII	sextuply ionized Na
Na VII	sextuply ionized sodium
Na VII	sodium VII
Na VII	[Na VII]
Na VII	Na6+
Na VII	Na6plus
Na VIII	septuply ionized Na
Na VIII	septuply ionized sodium
Na VIII	sodium VIII
Na VIII	[Na VIII]
Na VIII	Na7+
Na VIII	Na7plus
Na IX	octuply ionized Na
Na IX	octuply ionized sodium
Na IX	sodium IX
Na IX	[Na IX]
Na IX	Na8+
Na IX	Na8plus
Na X	nonuply ionized Na
Na X	nonuply ionized sodium
Na X	sodium X
Na X	[Na X]
Na X	Na9+
Na X	Na9plus
Mg I	neutral Mg
Mg I	neutral magnesium
Mg I	magnesium I
Mg I	[Mg I]
Mg II	singly ionized Mg
Mg II	singly ionized magnesium
Mg II	magnesium II
Mg II	[Mg II]
Mg II	Mg+
Mg II	Mg1+
Mg III	doubly ionized Mg
Mg III	doubly ionized magnesium
Mg III	magnesium III
Mg III	[Mg III]
Mg III	Mg2+
Mg III	Mg2plus
Mg IV	triply ionized Mg
Mg IV	triply ionized magnesium
Mg IV	magnesium IV
Mg IV	[Mg IV]
Mg IV	Mg3+
Mg IV	Mg3plus
Mg V	quadruply ionized Mg
Mg V	quadruply ionized magnesium
Mg V	magnesium V
Mg V	[Mg V]
Mg V	Mg4+
